Prompt;Response;Ground Truth
"Genetically engineered blood
Genetically engineered blood is blood that has been modified for therapeutic or other purposes.

Where was the director of film Blood Father born?";Mel Gibson;Paris
"Samira Makhmalbaf
Samira Makhmalbaf (""Samira Makhmalbaaf"") (born February 15, 1980) is an internationally acclaimed Iranian filmmaker and script writer. She is the daughter of Mohsen Makhmalbaf, the film director and writer. Samira Makhmalbaf is considered to be one of the most influential directors as part of the Iranian New Wave.

Who is the spouse of the director of film Zabak?";Sohrab Shahid Saless;Fearless Nadia
"Valentin (surname)
Valentin or Valentín is a surname. Notable people with the surname include:

Which film has the director who died later, Valentin The Good or A Daughter Of Two Worlds?";Valentin The Good.;Valentin The Good
"Avenue de Saxe
The Avenue du Maréchal de Saxe( or Avenue de Saxe) is a broad avenue located in the 3rd and the 6th arrondissements of Lyon. It was named after Maurice de Saxe, Marshal of France.

Where was the father of Maurice De Saxe born?";Germany.;Dresden
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Which film has the director who was born later, Til Sæters or Ruben Guthrie?";Til Sæters.;Ruben Guthrie
"Tony Burrows
Anthony"" Tony"" Burrows( born 14 April 1942) is an English session pop singer and recording artist.

Who was born later, Tsvetko Slavov or Marc Burrows?";Tsvetko Slavov;Marc Burrows
"Allied leaders of World War I
Nicholas II -- last Czar of Russia, titular King of Poland, and Grand Duke of Finland. His rule ended with the Russian Revolution. Nicholas was killed on 17 July 1918.

Who is Alexandra Of Lithuania's father-in-law?";Nicholas II.;Siemowit III, Duke of Masovia
"White Lion (disambiguation)
White Lion was a Danish/ American rock band. White Lion may also refer to:

What is the place of birth of the director of film The Blue And White Lion?";Argentina.;Berlin
"Madras Talkies
Madras Talkies is an Indian entertainment company, which was established by director Mani Ratnam and his wife, actress Suhasini Maniratnam as partners in 1995. Madras Talkies has actively involved in production of films and television serials, which are distributed all over the world. The company has produced fifteen feature films and six television serials. Prior to Madras Talkies, Ratnam previously served as a film producer on several projects with Aalayam Productions, alongside S. Sriram. Through his own directorial venture, ""Iruvar"" (1997), Madras Talkies made its debut as Ratnam's official production studio.

Which film has the director who died later, The Monkey Talks or Varakatnam?";The Monkey Talks;Varakatnam
"Claire Fraser (character)
Claire Fraser is a fictional character in the Outlander series of multi-genre novels by American author Diana Gabaldon, and its television adaptation. In the series, Claire is a married World War II nurse visiting Scotland who finds herself transported from 1945 back to 1743. There she finds adventure, war and romance with the dashing Highland warrior Jamie Fraser. Smart, stubborn and willful, Claire uses her wits, practical medical skills and knowledge of the future to survive in the 18th century.

What nationality is Claire Annabel Caroline Grant Duff's father?";Scottish;British
"Princess Élisabeth Charlotte of Lorraine
Élisabeth Charlotte of Lorraine( Élisabeth Charlotte Gabrièle; 21 October 1700 – 4 May 1711) was a Princess of Lorraine. She died of smallpox aged 10. She was the Titular Abbess of Remiremont.

Where was the place of death of Princess Anne Charlotte Of Lorraine's mother?";Commercy.;Commercy
"Liviu's Dream
Liviu's Dream is a 2004 Romanian film directed by Corneliu Porumboiu.

Who was born first out of Pierre Gauvreau and Tit Liviu Chinezu?";Pierre Gauvreau.;Tit Liviu Chinezu
"Princess Eléonore of Belgium
Princess Eléonore of Belgium( Eléonore Fabiola Victoria Anne Marie; born 16 April 2008) is the younger daughter and the youngest of four children of King Philippe and Queen Mathilde of Belgium. She is currently fourth in line to the throne of Belgium after her older siblings Princess Elisabeth, Duchess of Brabant, Prince Gabriel, and Prince Emmanuel.

When is Princess Joséphine Marie Of Belgium's mother's birthday?";Queen Mathilde's birthday is January 20.;17 November 1845
"Philip, Duke of Parma
Philip of Spain (15 March 1720 – 18 July 1765) was Infante of Spain by birth, and Duke of Parma from 1748 to 1765. He founded the House of Bourbon-Parma, a cadet line of the Spanish branch of the dynasty. He was a son-in-law of Louis XV.

Who is Infante Philip, Duke Of Calabria's paternal grandmother?";Elisabeth Farnese;Elisabeth Farnese
"Where Has Love Gone? (film)
Where Has Love Gone? (lit. "" Where Are You, Love?"") is a 1980 Soviet musical drama film written and directed by Valeriu Gagiu starring Sofia Rotaru as well as Valeriu Gagiu and Evgueny Menishov. The movie features songs performed by Sofia Rotaru, sequence of substantial dialogues. The setting includes Moldavian landscape and countryside life as well as Black Sea coast, Chişinău and Odessa. Although heavily criticized by cinema experts, even by Sofia Rotaru herself, the film gathered more than 25 million viewers in the former Soviet Union. In 2002, the official video version of the movie directed by Valeriu Gagiu at studios Moldova-Film in 1980 was released by the ARENA Corporation.

Where was the place of death of the director of film We (1982 Film)?";Leeds, United Kingdom.;Přerov
"Viper Solfa
Viper Solfa is an extreme/ gothic metal band from Kristiansand, Norway. It was founded in 2013 by Ronny Thorsen, once the symphonic black metal band Trail of Tears was separated.

Which album came out first, Sol Niger Within or The Magic Place?";Sol Niger Within.;Sol Niger Within
"The Fate of the Furious
Release date April 4, 2017 (2017 - 04 - 04) (Berlin) April 14, 2017 (2017 - 04 - 14) (United States)

Which country the director of film Downloaded (Film) is from?";United States.;American
"What Remains of Edith Finch
The Finches are an American family living on the coast of Washington state. Dubbed ``America's most unfortunate family, ''the Finches believe they are being pursued by a curse; every member of the family, going back at least five generations, has died an untimely death, and only one child from each generation has survived to have children of their own.

Are The Finches and She Drew The Gun both from the same country?";Yes.;no
"Charles, Duke of Durazzo
Charles of Durazzo( 1323 – 23 January 1348) was a Neapolitan nobleman, the eldest son of John, Duke of Durazzo and Agnes of Périgord.

Where did Joanna, Duchess Of Durazzo's mother die?";Naples.;Neapolitan
"Ri Hyon-ok
Ri Hyon- ok may refer to:

Who is the father-in-law of Ri Sol-Ju?";Kim Jong-il;Kim Jong-il
"Frankly, my dear, I don't give a damn
``Frankly, my dear, I do n't give a damn ''is a line from the 1939 film Gone with the Wind starring Clark Gable and Vivien Leigh. The line is spoken by Rhett Butler (Gable), as his last words to Scarlett O'Hara (Leigh), in response to her tearful question:`` Where shall I go? What shall I do?'' Scarlett clings to the hope that she can win him back. This line is also partially spoken by Rhett Butler in Margaret Mitchell's novel Gone with the Wind, published in 1936, from which the film is derived.

Which film has the director died later, All The Sins Of The Earth or Women In The Wind?";All The Sins Of The Earth;All The Sins Of The Earth
"Patrik, Age 1.5
Patrik, Age 1.5  is a 2008 Swedish comedy–drama film in which a gay Swedish couple adopt what they at first believe to be a baby, Patrik, only to have him turn out to be a homophobic teenager.

Who was born first, Patrik Lácha or Brad Booth?";Patrik Lácha.;Brad Booth
"Where Are We Going, Dad? 2
Where Are We Going, Dad? 2 is a 2015 Chinese reality children's family film directed by Xie Dikui and Lin Yan. It was released on February 19, 2015.

Where was the place of death of Lin Liguo's father?";Shandong;Öndörkhaan
"Valley of the Giants
Valley of the Giants may refer to:

Where was the place of death of the director of film Valley Of The Giants (Film)?";Palm Springs, California.;New York
"Valluri Balakrishna
Valluri Balakrishna is an Indian actor primarily appeared in Telugu films as comedian. He acted in more than 100 films as a comedian but the role he played in the movie Patala Bhairavi alongside N.T. Ramarao as"" Anji gadu"" made him popular with audience. He also played a role"" Sarathi"" in the very popular film Mayabazar. Another Telugu comedian Rajababu used to felicitate one veteran on his birthday every year. He started this tradition with Valluri Balakrishna because he was very much inspired by his acting in the film Patala Bhairavi. He watched that film around 90 times.

Who is younger, Jonetani Ralulu or Andre Blay?";Jonetani Ralulu.;Jonetani Ralulu
"Guillermo Castro (soldier)
Guillermo Castro( b. 1810 d.?) was the son of Carlos Antonio Castro of Rancho San Francisco de las Llagas, near Coyote, California in Santa Clara County. He was a soldier, rancher, surveyor, and magistrate.

Who is Fernando Rodríguez De Castro's paternal grandfather?";Carlos Antonio Castro.;Fernando García de Hita
"Samurai I: Musashi Miyamoto
The other two films in the trilogy are and.

Which film came out earlier, Gran Torino or Rivaaj?";"""Samurai II: Duel at Ichijoji Temple"" and ""Samurai III: Duel at Ganryu Island.""

""Gran Torino"" came out earlier.";Rivaaj
"It's a Wonderful Life
Due to all the above actions, this is one of the few RKO films not controlled by Turner Entertainment / Warner Bros. in the USA. It is also one of two Capra films Paramount owns despite not having originally released it -- the other is Broadway Bill (originally from Columbia, remade by Paramount as Riding High in 1950).

Which film has the director who died first, Everybody'S Hobby or One Sunday Afternoon (1948 Film)?";One Sunday Afternoon;Everybody'S Hobby
"The Wedding Video
The Wedding Video may refer to two films:

Where was the director of film The Wedding Video (2003 Film) born?";Nigel Cole;American
"Richard Gore
Richard Gore (died 1622) was an English merchant adventurer and politician who sat in the House of Commons from 1604 to 1611.

Who is Sir William Gore, 3Rd Baronet's paternal grandfather?";Richard Gore;Sir Paul Gore, 1st Baronet
"Paola Severino
Paola Severino( born 22 October 1948) was Italy's minister of justice in the Monti cabinet from November 2011 to April 2013. She is the first woman appointed minister of justice in Italy. On October 3, 2016, she was nominated rector of Libera Università Internazionale degli Studi Sociali Guido Carli.

Who is the mother of the founder of university Libera Università Internazionale Degli Studi Sociali Guido Carli?";Paola Severino;Virginia Bourbon del Monte
"World Film Company
The World Film Company or World Film Corporation was an American film production and distribution company, organized in 1914 in Fort Lee, New Jersey.

Who is the spouse of the director of film Worldly Goods?";Marguerite Clair.;Jean Harlow
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What nationality is the director of film Vortex (1976 Film)?";French.;Italy
"Elisabeth of Greater Poland, Duchess of Bohemia
Elisabeth of Greater Poland( 1152 – 2 April 1209) was a Polish princess of the House of Piast and, by her two marriages, Duchess of Bohemia and Margravine of Lusatia. She was a daughter of Mieszko III the Old, Duke of Greater Poland and from 1173 High Duke of Poland, by his first wife, Elisabeth, daughter of King Béla II of Hungary. Elisabeth's birthdate is unknown. Medieval sources do not even indicate whether the Hungarian princess was her mother. Elizabeth is believed to have been her daughter only because both had the same name. Some scholars report that Elizabeth was born about 1152 or 1154.

Where was the place of death of Elisabeth Of Moravia's mother?";Hungary.;Brno
"Charles Leslie (writer)
Charles Leslie was a Barbadian writer who wrote about the history of Jamaica. Leslie was married to Rebecca Tirres on 20 July 1710, Saint Philip, Barbados. His book,"" A New and Exact History of Jamaica"", was published in Edinburgh, Scotland, in 1739. Leslie, while researching on Jamaica, had met the family of Edward Thache or"" Blackbeard the Pirate."" His family's wealth and affluence surprised Charles Leslie in 1739 who wrote that Blackbeard"" was born in Jamaica of very creditable Parents; his Mother[ Lucretia Thache, died in 1743] is alive in Spanish Town to this Day, and his Brother[ Cox Thache, died in 1737] is at present the Captain of the Train of Artillery.""

Who was born later, Charles Burls or George Hypolite?";George Hypolite;George Hypolite
"Princess Louise of Belgium (born 2004)
Princess Louise of Belgium("" Louise Sophie Mary""; born 6 February 2004 in Woluwe- Saint- Lambert) is the first child and only daughter of Prince Laurent and Princess Claire. She is currently 13th in the line of succession to the Belgian throne.

Who is the maternal grandfather of Princess Louise Of Belgium?";King Albert II;Archduke Joseph, Palatine of Hungary
"Fernando Fragata
Filmmaker Fernando Fragata started his career in Portugal with the short film Love& Alchemy, which won him several International awards for best short film and best director. His other Portuguese films include the romantic comedy Sweet Nightmare and the critically acclaimed action comedy Chasing Life( Pulsação Zero). In 2004 he wrote and directed the mystery crime The Trunk( Sorte Nula), which became the top grossing Portuguese film of that year. Backlight came in 2010 and again broke box office records in his home country.

Which film was released more recently, Horas Marcadas or Tiny Times 3?";Tiny Times 3.;Tiny Times 3
"Abu Ishaq Ibrahim
Abu Ishaq Ibrahim, also known by his honorific title of Umdat al- Dawla("" Mainstay of the Empire""), was a Buyid prince, who was the youngest son of the Buyid ruler Mu'izz al- Dawla.

Who is the paternal grandfather of Sultan Al-Dawla?";Muhammad ibn Rukn al-Dawla;'Adud al-Dawla
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Where did Mate Meštrović's father graduate from?";Harvard;Academy of Fine Arts Vienna
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

Which country the director of film Funny Games (2007 Film) is from?";Austria;Austrian
"Tides (Bethel Music album)
Tides is the first studio album by California- based worship collective Bethel Music, it is also the sixth album overall to be released. The album was released on September 3, 2013 by the group's imprint label, Bethel Music. Daniel Mackenzie and Gabriel Wilson produced the album together.

Where does the composer of film Rivers And Tides work at?";Germany;Mills College
"Topel Lee
Topel Lee is an acclaimed Filipino film director, TV director and music video director known for the cinematography in his movies and his strong female characters.

What nationality is the director of film Top Floor Girl?";Filipino;French
"Maciej Ślesicki
Maciej Wojciech Slesicki (born 1966 in Warsaw) is a Polish film director and screenwriter, co-founder and lecturer at the Warsaw Film School.

Where did the director of film Polish-Russian War (Film) study?";Warsaw Film School;National Film School in Łódź
"Roberto Ciotti
Roberto Ciotti (20 February 1953 – 31 December 2013) was an Italian blues musician, composer and guitarist.

Where did Roberto Civita's father die?";São Paulo;São Paulo
"Geoffrey Somerset, 6th Baron Raglan
Geoffrey Somerset, 6th Baron Raglan( born 29 August 1932) is a British peer, businessman, and Conservative politician.

What is the date of death of Fitzroy Somerset, 5Th Baron Raglan's father?";1964;14 September 1964
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What is the place of birth of the director of film Martial Law (1991 Film)?";Paris, France;Memphis
"Star Wars: The Last Jedi
Walt Disney Studios Home Entertainment will release Star Wars: The Last Jedi digitally in HD and 4K via download and Disney Movies Anywhere on March 13, 2018, with an Ultra HD Blu - Ray, Blu - ray, and DVD release on March 27.

Which film was released more recently, Last Of The Long-Haired Boys or Age Of The Dragons?";Last Of The Long-Haired Boys.;Age Of The Dragons
"Portugal
Portuguese cinema has a long tradition, reaching back to the birth of the medium in the late 19th century. Portuguese film directors such as Arthur Duarte, António Lopes Ribeiro, António Reis, Pedro Costa, Manoel de Oliveira, João César Monteiro, António-Pedro Vasconcelos, Fernando Lopes, João Botelho and Leonel Vieira, are among those that gained notability. Noted Portuguese film actors include Joaquim de Almeida, Daniela Ruah, Maria de Medeiros, Diogo Infante, Soraia Chaves, Ribeirinho, Lúcia Moniz, and Diogo Morgado.

Which film was released more recently, How Poets Are Enjoying Their Lives or Os Faroleiros?";How Poets Are Enjoying Their Lives;How Poets Are Enjoying Their Lives
"Kennedy Compound
Ted Kennedy also bought President Kennedy's house from his daughter, Caroline Kennedy. This house now belongs to Ted Kennedy Jr.

What is the place of birth of John F. Kennedy Jr.'s mother?";Southampton, New York;Southampton
"The Flying Fifty-Five
The Flying Fifty- Five may refer to:

Are both Flying Fifty-Five and Approaching Midnight from the same country?";Yes.;no
"Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

What nationality is the director of film Detachment (Film)?";American;British
"Thailand Film Office
The Thailand Film Office is the official point of contact in the country for all activities involving filming and the making films in the Kingdom of Thailand. The film industry has a long and established history in Thailand and Hollywood has played an important role in the development of Thailand's film industry over the years. Thailand's King Vajiravudh,"" King Rama VI"", supported one of the first feature films made in Thailand, 1923's Miss Suwanna of Siam, a Hollywood co-production.

Where does the director of film Podokkhep work at?";Bangladesh;Florida Atlantic
"Reid Flair
Richard Reid Fliehr (February 26, 1988 March 29, 2013), better known by his ring name Reid Flair, was an American professional wrestler. He was the youngest son of retired professional wrestler Ric Flair, younger half-brother of wrestler David Flair, and younger brother of Charlotte Flair.

Where does David Flair's father work at?";WWE;Total Nonstop Action Wrestling
"Funafuti
Funafuti is an atoll and the capital of the island nation of Tuvalu. It has a population of 6,025 people, making it the country's most populated atoll, with 56.6 percent of Tuvalu's population. It is a narrow sweep of land between 20 and 400 metres (66 and 1,312 feet) wide, encircling a large lagoon (Te Namo) 18 km (11 miles) long and 14 km (9 miles) wide. The average depth in the Funafuti lagoon is about 20 fathoms (36.5 metres or 120 feet). With a surface of 275 square kilometres (106.2 sq mi), it is by far the largest lagoon in Tuvalu. The land area of the 33 islets aggregates to 2.4 square kilometres (0.9 sq mi), less than one percent of the total area of the atoll. Cargo ships can enter Funafuti's lagoon and dock at the port facilities on Fongafale.

Are Half Mile Lagoon and Lake Waitaki both located in the same country?";No.;yes
"Makaziwe Mandela
Pumla Makaziwe"" Maki"" Mandela- Amuah( born 1954) is the daughter of Nelson Mandela and his first wife Evelyn Mase.

Who was born first out of Misaele Draunibaka and Ross Clark?";Misaele Draunibaka.;Ross Clark
"Richard Paulet, 17th Marquess of Winchester
Richard Charles Paulet, 17th Marquess of Winchester( born on 8 July 1905; died 5 March 1968) was the son of Charles Standish Paulet and Lillian Jane Charlotte Fosbery. He inherited the title of 17th Marquess of Winchester from Henry Paulet, 16th Marquess of Winchester, through Charles Paulet, 13th Marquess of Winchester. He died unmarried, and the title was passed to his 26 year old cousin Nigel Paulet, 18th Marquess of Winchester.

What is the date of birth of Augustus Paulet, 15Th Marquess Of Winchester's father?";1722;3 June 1801
"Robert de Brus, 2nd Lord of Annandale
Robert III de Brus (fl. 12th century, died ca. 1191) was the oldest son of Robert de Brus, 2nd Lord of Annandale.

Where was the father of Nigel De Brus born?";Annandale.;Writtle
"Index of Baekje-related articles
Articles about Baekje- related people, places, things, and concepts include:

Who is Hye Of Baekje's paternal grandfather?";Go-Yang.;Muryeong
"Hot Dog…The Movie
Hot Dog … The Movie is a teen sex comedy ski film released in January 1984. The film went on to gross over$ 17 million.

Are Car Trouble (Film) and White Heat (1926 Film) both from the same country?";No.;yes
"Different from Whom?
Different from Whom? is a 2009 Italian comedy film directed by Umberto Carteni. It was nominated for four David di Donatello, for best new director, best actor, best actress and best supporting actor( Filippo Nigro) and for three Nastri d'argento, for best comedy film, best script and best producer.

Which film has the director who is older, Dialogues Of Exiles or Rhythm And Weep?";Dialogues Of Exiles;Rhythm And Weep
"Henry, son of Edward I
Henry of England (6 May 1268 – 14 October 1274 in Merton, Surrey) was the fifth child and second son of Edward I of England by his first wife, Eleanor of Castile.

Who is older, William Henry Rodes Green or Eleanor Of Lancaster?";Eleanor of Lancaster.;Eleanor Of Lancaster
"Samurai I: Musashi Miyamoto
The other two films in the trilogy are and.

Which film has the director who died earlier, In The First Degree or The Sea God?";"""Runaway Swordsman"" and ""Duel at Ganryu Island"". ""In The First Degree"" has the director who died earlier.";In The First Degree
"Robert de Umfraville, Earl of Angus
Robert de Umfraville, 8th Earl of Angus, of Prudhoe, Chollerton, Harbottle, and Whelpington, Northumberland( 1277 – 1325) was an Anglo- Norman baron in Northumberland and the eighth Earl of Angus.

Who is the paternal grandfather of Gilbert De Umfraville, Earl Of Angus?";Gilbert De Umfraville's paternal grandfather is Gilbert De Umfraville, Earl Of Angus.;Richard de Umfraville
"Maria van Arkel
Maria van Arkel (c. 1385 – 19 July 1415) was the only daughter and heiress of Lord John V of Arkel and Joanna of Jülich. She inherited the title to Gelderland from her maternal uncle, Duke Reginald IV, and her son became Arnold, Duke of Gelderland. She was the paternal grandmother of Mary of Guelders, who became Queen of Scots.

Who is the paternal grandmother of Reinald Iv, Duke Of Guelders And Jülich?";Maria van Arkel;Joanna of Hainaut
"Le Temps d'un film
Le Temps d'un film is a 2007 film.

Which film has the director who died first, Another Language or Les Tontons Flingueurs?";Another Language;Another Language
"Lord of Arran
The Lord of Arran was a title for the lord of Arran, Scotland in High Medieval Scotland.

Who is the paternal grandmother of Arthur Gore, 1St Earl Of Arran?";Margaret Stewart.;Anne Gore
"Goodbye, Dragon Inn
Goodbye, Dragon Inn is a 2003 Taiwanese film directed by Tsai Ming-liang about the last screening of the old film ""Dragon Inn"" before the closure of an old movie theater.

Which film was released earlier, Farewell To The King or Brother Liu And Brother Wang On The Roads In Taiwan?";Farewell To The King;Brother Liu And Brother Wang On The Roads In Taiwan
"List of the verified oldest people
The oldest man ever whose age has been verified is Jiroemon Kimura (1897 -- 2013) of Japan, who died at the age of 116 years, 54 days.

Who lived longer, Bernhard Afinger or Melvin Kranzberg?";Bernhard Afinger.;Melvin Kranzberg
"Bengal Film Journalists' Association
Best Music Director Award (Hindi) - Here is a list of the award winners and the films for which they won.

What is the place of birth of the director of film Samarpane?";Bengaluru.;Hunsur
"Princess Amelia of the United Kingdom
Princess Amelia of the United Kingdom (7 August 1783 – 2 November 1810) was the fifteenth and last child and sixth daughter of King George III of the United Kingdom and his wife, Charlotte of Mecklenburg-Strelitz. She was their first daughter to die and third child to die before them.

Where was the father of Princess Amelia Of Great Britain born?";Britain.;Hanover
"Shah Makhdum Rupos
Shah Makhdum( died 1313 CE), born Abdul- Quddus Jalaluddin and also known as Rupos, is a Sufi Muslim figure in Bangladesh. He is associated with the spread of Islam into the Varendra region of Bengal by the preaching method of Sufism. He arrived in Bengal with his elder brother Syed Ahmed( Miran Shah) from Baghdad in 1287 CE. Shah Makhdum Airport of Rajshahi, is named after him.

Where did Rudra Mohammad Shahidullah's wife study at?";University of Dhaka;Mymensingh Medical College
"Walter Massey
Walter Massey may refer to:

Are Walter E. Massey and Matt Horwich both from the same country?";No.;yes
"2018 Cannes Film Festival
2018 Cannes Film Festival Official poster of the 71st Cannes Film Festival featuring Jean - Paul Belmondo and Anna Karina in Pierrot le Fou (1965) Opening film Everybody Knows Closing film The Man Who Killed Don Quixote Location Cannes, France Founded 1946 Awards Palme d'Or (Shoplifters) Hosted by Édouard Baer No. of films 21 (In Competition) 18 (Un Certain Regard) Festival date 8 -- 19 May 2018 Website festival-cannes.com/en

What is the place of birth of the director of film A Gun & A Ring?";Egypt.;Jaffna, Sri Lanka
"Waldemar I, Prince of Anhalt-Zerbst
Waldemar I, Prince of Anhalt- Zerbst( died 7 January 1368) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst. He was the youngest son of Albert I, Prince of Anhalt- Zerbst, by his second wife Agnes, daughter of Conrad, Margrave of Brandenburg- Stendal.

Who is Albert Iii, Prince Of Anhalt-Zerbst's paternal grandfather?";Albert II, Prince of Anhalt-Zerbst.;Albert I, Prince of Anhalt-Zerbst
"Judith of Bavaria, Duchess of Swabia
Judith of Bavaria, Duchess of Swabia (19 May 1100 – 27 Aug 1130) was a Duchess of Swabia by marriage to Frederick II, Duke of Swabia. She was the mother of Frederick I, Holy Roman Emperor, known to history as ""Barbarossa"".

Where did Judith Of Swabia's mother die?";Esslingen.;Roman
"Karomama II
Karomama II( full name Karomama Meritmut; also known as Karomama D, Merytmut II) was an ancient Egyptian queen, Great Royal Wife of pharaoh Takelot II of the 23rd Dynasty of Egypt.

Where was the place of burial of Karomama I's husband?";Tanis;Tanis
"Grammy Award for Best Pop Vocal Album
Grammy Award for Best Pop Vocal Album Awarded for Quality pop music albums Country United States Presented by National Academy of Recording Arts and Sciences First awarded 1968 Currently held by Ed Sheeran, ÷ (2018) Website grammy.com

Which award the performer of song Beating Heart (Ellie Goulding Song) got?";Grammy for Best Pop Vocal Album;BRIT Awards
"Louis Lucien Bonaparte
Louis Lucien Bonaparte (4 January 1813 – 3 November 1891) was the third son of Napoleon's second surviving brother, Lucien Bonaparte.

What nationality is Prince Napoléon Bonaparte's father?";French;French
"Road & Track
Road & Track (R&T) is an American automotive enthusiast magazine. It is owned by Hearst Magazines and is published 10 times per year. The editorial offices are located in New York, New York.

Where was the founder of magazine Track & Field News born?";New York.;San Diego
"Dalida (2005 film)
Dalida is a French and Italian two- parts- film for television directed by Joyce Buñuel released on TV in 2005. This movie tells Dalida's life.

Why did the director of film Normande (Film) die?";Joyce Buñuel died in a car accident.;Parkinson's disease
"Who Saw Her Die?
Who Saw Her Die? is a 1972 Italian"" giallo"" film directed by Aldo Lado and Vittorio De Sisti, starring Anita Strindberg and George Lazenby. Lazenby and Strindberg play the parents of a murdered girl, who pursue her black- veiled killer throughout Venice. "" Who Saw Her Die?"" features music by Ennio Morricone, and has seen positive reviews for Lazenby's performance.

Which film has the director born later, The Man Who Murdered or Newness?";"""Newness""";Newness
"The Price
The Price may refer to:

Where did the director of film The Price Of Everything study?";Yale.;Yale
"The Birth of Venus (disambiguation)
The Birth of Venus may refer to the birth of the mythological goddess Venus. Other uses include: In paintings, the term"" the birth of Venus"" has often been interchanged with"" Venus Anadyomene"". For examples of this theme, see: In literature: In music:

What is the place of birth of the director of film Venus Makes Trouble?";Unknown.;Jerseyville
"Teri Yaad (film)
Teri Yaad("" Your Memory"") was the first- ever feature film released on 7 August 1948 in Pakistan after the independence, on Eid. It was the first film released after the birth of Pakistan on 14 August 1947.

Which film has the director who was born later, Meraa Dost Meraa Dushman or Miles From Home?";Miles From Home.;Miles From Home
"Arab cinema
Arab cinema or Arabic cinema refers to the cinema of the Arab world.

Which film has the director born earlier, Pieces Of A Woman or Oriental Nights?";Oriental Nights;Oriental Nights
"Lance Serrano
Lancer France Mendoza Serrano( born May 22, 1990 in Mandaluyong City, Philippines), better known as Lance Serrano, is a Filipino actor, commercial model and gym instructor, Serrano have a several tv shows in GMA Network.

Was Dudley Russell or Juan René Serrano born first?";Juan René Serrano;Dudley Russell
"Who Saw Her Die?
Who Saw Her Die? is a 1972 Italian ""giallo"" film directed by Aldo Lado and Vittorio De Sisti, starring Anita Strindberg and George Lazenby. Lazenby and Strindberg play the parents of a murdered girl, who pursue her black-veiled killer throughout Venice. "" Who Saw Her Die? "" features music by Ennio Morricone, and has seen positive reviews for Lazenby's performance.

Which film has the director who died later, The Lady Owner or Behind Prison Gates?";"""The Lady Owner""";Behind Prison Gates
"Princess Olga Andreevna Romanoff
Princess Olga Andreevna Romanoff (born 8 April 1950) is a Russian princess and descendant of the House of Romanov. She is the president of the Romanov Family Association.

Who is Olga Constantinovna Of Russia's maternal grandfather?";King Christian IX of Denmark;Joseph, Duke of Saxe-Altenburg
"Tokyo Laboratory
In addition, Tokyo Laboratory has processed many films from Taiwan and Mainland China throughout its history. Such films include Red Sorghum( film), Farewell My Concubine( film), In the Heat of the Sun etc.

Which film has the director died later, Taipei Story or The Ballad Of Cossack Golota?";"The director of ""The Ballad Of Cossack Golota"" died later.";Taipei Story
"Mother (1999 film, Russia)
Mother is a feature film based on real events the capture of an Ovechkin family in 1988.

Where did Oleg Kerensky's father die?";Prison;New York
"Timeline of Chiang Kai-shek
This is a timeline of Chiang Kai-shek's( Jiang Jieshi) life.

Who died earlier, Chiang Chung-Ling or George Andreadis?";Chiang Chung-Ling died earlier.;Chiang Chung-Ling
