Prompt;Response;Ground Truth
"Richard Gore
Richard Gore (died 1622) was an English merchant adventurer and politician who sat in the House of Commons from 1604 to 1611.

Who is Sir William Gore, 3Rd Baronet's paternal grandfather?";Richard Gore;Sir Paul Gore, 1st Baronet
"Libera Università Internazionale degli Studi Sociali Guido Carli
The Libera Università Internazionale degli Studi Sociali ""Guido Carli"" (Italian for ""Free International University for Social Studies ""Guido Carli), known by the acronym ""Luiss"" or ""Luiss Guido Carli"", is an independent, private university in Rome, Italy, founded in 1974 by a group of entrepreneurs led by Umberto Agnelli, brother of Gianni Agnelli. Luiss provides undergraduate and post-graduate education, in addition to a range of Double Degree programs, in the fields of finance, business, management, law and political science. It is located near the historical center of the city, between the neighborhoods of and . The university is supported by Confindustria, the Italian confederation of industries. There are four different campus: one in Viale romania, one in Via parenzo, one in Villa Blanc and the last one in viale Pola. There is also a library in Santa Costanza.

Who is the mother of the founder of university Libera Università Internazionale Degli Studi Sociali Guido Carli?";Clara Boselli.;Virginia Bourbon del Monte
"Worldly Goods
Worldly Goods is a 1924 American comedy silent film directed by Paul Bern and written by Sophie Kerr and A. P. Younger. The film stars Agnes Ayres, Patrick H. O' Malley, Jr., Victor Varconi, Edythe Chapman, Bert Woodruff, Maude George and Cecille Evans. The film was released on November 24, 1924, by Paramount Pictures.

Who is the spouse of the director of film Worldly Goods?";Jean Harlow.;Jean Harlow
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What nationality is the director of film Vortex (1976 Film)?";Italian;Italy
"Elisabeth of Greater Poland, Duchess of Bohemia
Elisabeth of Greater Poland( 1152 – 2 April 1209) was a Polish princess of the House of Piast and, by her two marriages, Duchess of Bohemia and Margravine of Lusatia. She was a daughter of Mieszko III the Old, Duke of Greater Poland and from 1173 High Duke of Poland, by his first wife, Elisabeth, daughter of King Béla II of Hungary. Elisabeth's birthdate is unknown. Medieval sources do not even indicate whether the Hungarian princess was her mother. Elizabeth is believed to have been her daughter only because both had the same name. Some scholars report that Elizabeth was born about 1152 or 1154.

Where was the place of death of Elisabeth Of Moravia's mother?";Hungary;Brno
"George Hypolite
George Hypolite[ hip- puh- light]( born August 1, 1987) is a former American football defensive tackle. He was signed by the Jacksonville Jaguars as an undrafted free agent in 2009. He played college football at Colorado.

Who was born later, Charles Burls or George Hypolite?";Charles Burls;George Hypolite
"Princess Louise of Belgium (born 2004)
Princess Louise of Belgium("" Louise Sophie Mary""; born 6 February 2004 in Woluwe- Saint- Lambert) is the first child and only daughter of Prince Laurent and Princess Claire. She is currently 13th in the line of succession to the Belgian throne.

Who is the maternal grandfather of Princess Louise Of Belgium?";King Albert II of Belgium.;Archduke Joseph, Palatine of Hungary
"Fernando Fragata
Filmmaker Fernando Fragata started his career in Portugal with the short film Love& Alchemy, which won him several International awards for best short film and best director. His other Portuguese films include the romantic comedy Sweet Nightmare and the critically acclaimed action comedy Chasing Life( Pulsação Zero). In 2004 he wrote and directed the mystery crime The Trunk( Sorte Nula), which became the top grossing Portuguese film of that year. Backlight came in 2010 and again broke box office records in his home country.

Which film was released more recently, Horas Marcadas or Tiny Times 3?";Tiny Times 3;Tiny Times 3
"Sultan al-Dawla
Abu Shuja (993 – December 1024), better known by his ""laqab"" of Sultan al-Dawla (Persian: سلطان الدوله, ""Power of the Dynasty""), was the Buyid amir of Fars (1012–1024) and Iraq (1012–1021). He was the son of Baha' al-Dawla.

Who is the paternal grandfather of Sultan Al-Dawla?";Imad al-Dawla.;'Adud al-Dawla
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Where did Mate Meštrović's father graduate from?";MIT;Academy of Fine Arts Vienna
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

Which country the director of film Funny Games (2007 Film) is from?";Austria.;Austrian
"Rivers and Tides
Rivers and Tides is a 2001 documentary film directed by Thomas Riedelsheimer about the British artist Andy Goldsworthy, who creates intricate and ephemeral sculptures from natural materials such as rocks, leaves, flowers, and icicles. The music was composed and performed by Fred Frith and was released on a soundtrack, ""Rivers and Tides (2003)"". The film received a number of awards, including the ‘Best Documentary’ awards of the San Diego Film Critics Society and the San Francisco Film Critics Circle. It is an Anglo-German co-production by Mediopolis Film and the British independent film company Skyline Productions. In 2018, Goldsworthy, Riedelsheimer, and composer Frith released a follow-up documentary, ""Leaning Into the Wind"".

Where does the composer of film Rivers And Tides work at?";Fred Frith;Mills College
"Top Floor Girl
Top Floor Girl is a 1959 British drama film directed by Max Varnel and starring Kay Callard, Neil Hallett and Robert Raikes. The screenplay was co-written by Brian Clemens.

What nationality is the director of film Top Floor Girl?";British;French
"Polish-Russian War (film)
Polish-Russian War (Wojna polsko-ruska) is a 2009 Polish film directed by Xawery Żuławski based on the novel Polish-Russian War under the white-red flag by Dorota Masłowska.

Where did the director of film Polish-Russian War (Film) study?";Łódź Film School.;National Film School in Łódź
"Victor Civita
Victor Civita (February 9, 1907 - August 24, 1990) was an Italian-Brazilian journalist and publisher. His family emigrated from Italy to New York in 1938 following passage of the Race Law. In 1949 Civita relocated his family to Brazil, where he established the publishing house Editora Abril in São Paulo, which developed into Grupo Abril, one of the largest publishing houses in the country.

Where did Roberto Civita's father die?";No information provided.;São Paulo
"FitzRoy Somerset, 5th Baron Raglan
FitzRoy John Somerset, 5th Baron Raglan ( 6 November 1927 – 24 January 2010) was a British peer, the son of FitzRoy Richard Somerset, 4th Baron Raglan and the Hon. Julia Hamilton. He married Alice Baily, daughter of Peter Baily, in 1973. He and Alice were divorced in 1981. They had no children.

What is the date of death of Fitzroy Somerset, 5Th Baron Raglan's father?";1964;14 September 1964
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What is the place of birth of the director of film Martial Law (1991 Film)?";New York, USA.;Memphis
"Star Wars: The Last Jedi
Walt Disney Studios Home Entertainment will release Star Wars: The Last Jedi digitally in HD and 4K via download and Disney Movies Anywhere on March 13, 2018, with an Ultra HD Blu - Ray, Blu - ray, and DVD release on March 27.

Which film was released more recently, Last Of The Long-Haired Boys or Age Of The Dragons?";Last Of The Long-Haired Boys;Age Of The Dragons
"Os Faroleiros
Os Faroleiros is a 1920 Brazilian silent drama film directed by Antônio Leite and Miguel Milano. The film is based on the novel"" Urupês"" by Monteiro Lobato. The film was premiered on March 11, 1920 in Rio de Janeiro.

Which film was released more recently, How Poets Are Enjoying Their Lives or Os Faroleiros?";How Poets Are Enjoying Their Lives;How Poets Are Enjoying Their Lives
"Kennedy Compound
Ted Kennedy also bought President Kennedy's house from his daughter, Caroline Kennedy. This house now belongs to Ted Kennedy Jr.

What is the place of birth of John F. Kennedy Jr.'s mother?";Southampton, New York;Southampton
"The Flying Fifty-Five
The Flying Fifty- Five may refer to:

Are both Flying Fifty-Five and Approaching Midnight from the same country?";Yes.;no
"Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

What nationality is the director of film Detachment (Film)?";American;British
"Podokkhep
Podokkhep (""Footstep"") is a 2006 Bengali film by Suman Ghosh.

Where does the director of film Podokkhep work at?";Jadavpur University.;Florida Atlantic
"David Flair
David Richard Fliehr( born March 6, 1979), better known by his ring name David Flair, is an American retired professional wrestler best known for his time in World Championship Wrestling( WCW), where he held the United States and World Tag Team championships. He is the son of former wrestling world champion Ric Flair and the older half brother of Charlotte Flair and Reid Flair.

Where does David Flair's father work at?";Ric Flair works at WCW.;Total Nonstop Action Wrestling
"Half Mile Lagoon
Half Mile Lagoon is a lake in the Northland Region of New Zealand. It is located 5 km to the northwest of Ngataki. Half Mile Lagoon once covered an area of 36000 square metres, however the largest of the remaining pools was only approximately 100 square metres( when surveyed in 2005). This area is an example of decreasing water levels which have impacted on many of the smaller dune lakes on the Aupouri Pensinsula. Half Mile Lagoon lies directly adjacent to the Aupouri pine forest, and much of the catchment land use is pastoral.

Are Half Mile Lagoon and Lake Waitaki both located in the same country?";Yes.;yes
"Misaele Draunibaka
Misaele Draunibaka( born April 6, 1992) is a Fijian footballer who plays as a midfielder.

Who was born first out of Misaele Draunibaka and Ross Clark?";Misaele Draunibaka;Ross Clark
"Richard Paulet, 17th Marquess of Winchester
Richard Charles Paulet, 17th Marquess of Winchester( born on 8 July 1905; died 5 March 1968) was the son of Charles Standish Paulet and Lillian Jane Charlotte Fosbery. He inherited the title of 17th Marquess of Winchester from Henry Paulet, 16th Marquess of Winchester, through Charles Paulet, 13th Marquess of Winchester. He died unmarried, and the title was passed to his 26 year old cousin Nigel Paulet, 18th Marquess of Winchester.

What is the date of birth of Augustus Paulet, 15Th Marquess Of Winchester's father?";12 May 1817;3 June 1801
"Robert de Brus, 2nd Lord of Annandale
Robert III de Brus (fl. 12th century, died ca. 1191) was the oldest son of Robert de Brus, 2nd Lord of Annandale.

Where was the father of Nigel De Brus born?";Annandale.;Writtle
"Index of Baekje-related articles
Articles about Baekje- related people, places, things, and concepts include:

Who is Hye Of Baekje's paternal grandfather?";King Goi of Baekje.;Muryeong
"Hot Dog…The Movie
Hot Dog … The Movie is a teen sex comedy ski film released in January 1984. The film went on to gross over$ 17 million.

Are Car Trouble (Film) and White Heat (1926 Film) both from the same country?";No.;yes
"Different from Whom?
Different from Whom? is a 2009 Italian comedy film directed by Umberto Carteni. It was nominated for four David di Donatello, for best new director, best actor, best actress and best supporting actor( Filippo Nigro) and for three Nastri d'argento, for best comedy film, best script and best producer.

Which film has the director who is older, Dialogues Of Exiles or Rhythm And Weep?";Dialogues Of Exiles;Rhythm And Weep
"Eleanor of Lancaster
Eleanor of Lancaster, Countess of Arundel (sometimes called Eleanor Plantagenet; 11 September 1318 – 11 January 1372) was the fifth daughter of Henry, 3rd Earl of Lancaster and Maud Chaworth.

Who is older, William Henry Rodes Green or Eleanor Of Lancaster?";Eleanor of Lancaster is older.;Eleanor Of Lancaster
"Samurai I: Musashi Miyamoto
The other two films in the trilogy are and.

Which film has the director who died earlier, In The First Degree or The Sea God?";Died earlier: In The First Degree.;In The First Degree
"Gilbert de Umfraville, Earl of Angus
Gilbert de Umfraville, Earl of Angus (r. 1246–1308) was the first of the Anglo-French de Umfraville line to rule the Earldom of Angus in his own right. His father was Gilbert de Umfraville (d. shortly before 13 March 1245), a Norman, and feudal Baron of Prudhoe in Northumberland, and his mother was Matilda, Countess of Angus. He succeeded his father in infancy. He also carried on the line of the earlier Gaelic earls through his mother. He succeeded her sometime after 1247 (when she was still living with her third husband Richard de Dover) as an infant, certainly no older than three.
Simon de Montfort, 6th Earl of Leicester, paid £10,000 to act as Gilbert's warden. Gilbert eventually grew into his inheritance, and although he was primarily an English magnate, there are still a few of his recorded grants. Gilbert was the nominal ruler of the province for more than half a century. As Earl of Angus he was summoned in 1276 for a campaign in Gwynedd against Llywelyn ap Gruffudd. In 1284 he attended the parliament with other Scottish noblemen who acknowledged Margaret of Norway as the heir to King Alexander. In 1296 he again joined Edward I in his conquest of Scotland. He also founded a chantry for two priests at Prudhoe castle to celebrate mass daily. He died in 1308, and was succeeded by his second son, Robert de Umfraville, Earl of Angus. Gilbert was buried in Hexham Abbey his effigy survives and can be seen.

Who is the paternal grandfather of Gilbert De Umfraville, Earl Of Angus?";Odinel de Umfraville;Richard de Umfraville
"Maria van Arkel
Maria van Arkel (c. 1385 – 19 July 1415) was the only daughter and heiress of Lord John V of Arkel and Joanna of Jülich. She inherited the title to Gelderland from her maternal uncle, Duke Reginald IV, and her son became Arnold, Duke of Gelderland. She was the paternal grandmother of Mary of Guelders, who became Queen of Scots.

Who is the paternal grandmother of Reinald Iv, Duke Of Guelders And Jülich?";Maria van Arkel;Joanna of Hainaut
"Le Temps d'un film
Le Temps d'un film is a 2007 film.

Which film has the director who died first, Another Language or Les Tontons Flingueurs?";Les Tontons Flingueurs.;Another Language
"Lord of Arran
The Lord of Arran was a title for the lord of Arran, Scotland in High Medieval Scotland.

Who is the paternal grandmother of Arthur Gore, 1St Earl Of Arran?";Marie Josephine La Touche.;Anne Gore
"Brother Liu and Brother Wang on the Roads in Taiwan
Brother Liu and Brother Wang on the Roads in Taiwan (王哥柳哥遊台灣) is a Taiwanese two series movies comedy film directed by Li Xing. It was released on 7 February 1958 Brother Liu and Brother Wang on the Roads in Taiwan (王哥柳哥遊台灣) is a Taiwanese dialect comedy film directed by Li Xing, Zhang Fang Xia and Tian Feng. It was released in 1959 as a two-part series. Part One was premiered on February 7, 1959. Part Two was premiered on February 19, 1959.

Which film was released earlier, Farewell To The King or Brother Liu And Brother Wang On The Roads In Taiwan?";Brother Liu and Brother Wang on the Roads in Taiwan.;Brother Liu And Brother Wang On The Roads In Taiwan
"List of the verified oldest people
The oldest man ever whose age has been verified is Jiroemon Kimura (1897 -- 2013) of Japan, who died at the age of 116 years, 54 days.

Who lived longer, Bernhard Afinger or Melvin Kranzberg?";Bernhard Afinger lived longer.;Melvin Kranzberg
"Bengal Film Journalists' Association
Best Music Director Award (Hindi) - Here is a list of the award winners and the films for which they won.

What is the place of birth of the director of film Samarpane?";Bangalore;Hunsur
"Princess Amelia of Great Britain
Princess Amelia of Great Britain ( Amelia Sophia Eleanor; 10 June 1711( New Style) – 31 October 1786) was the second daughter of King George II of Great Britain and Queen Caroline.

Where was the father of Princess Amelia Of Great Britain born?";Hanover, Germany.;Hanover
"Rudra Mohammad Shahidullah
Rudra Mohammad Shahidullah (16 October 1956 – 21 June 1991) was a Bengali poet. He was noted for his revolutionary and romantic poetry. He is considered one of the leading Bengali poets of the 1970s. He was the recipient of ""Munir Chaudhury Memorial Award"" in 1980. He is most notable for the song ""Bhalo Achi Bhalo Theko"". This song is regarded by him as a suicide note to Taslima Nasrin. It was later adopted as a song for using in a Bengali movie Starring Salman Shah.

Where did Rudra Mohammad Shahidullah's wife study at?";Rudra Mohammad Shahidullah's wife studied in Moscow.;Mymensingh Medical College
"Walter Massey
Walter Massey may refer to:

Are Walter E. Massey and Matt Horwich both from the same country?";No.;yes
"A Gun & a Ring
A Gun & a Ring is a 2013 Canadian drama film written and directed by Lenin M. Sivam. The film explores the harsh realities faced by different generations of Toronto Sri Lankans. It was nominated for Golden Goblet Award at the 16th Shanghai International Film Festival. It was also officially selected for the 37th Montreal World Film Festival (WFF) took place August 22 to September 2, 2013 to present under ""Focus on World Cinema"".

What is the place of birth of the director of film A Gun & A Ring?";Sri Lanka.;Jaffna, Sri Lanka
"Albert II, Prince of Anhalt-Zerbst
Albert II, Prince of Anhalt- Zerbst( died 17 July 1362) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst. He was the third son of Albert I, Prince of Anhalt- Zerbst, but the eldest child born to his second wife Agnes, daughter of Conrad, Margrave of Brandenburg- Stendal.

Who is Albert Iii, Prince Of Anhalt-Zerbst's paternal grandfather?";Albert II, Prince of Anhalt-Zerbst's paternal grandfather is Rudolf I, Prince of Anhalt-Zerbst.;Albert I, Prince of Anhalt-Zerbst
"Judith of Bavaria, Duchess of Swabia
Judith of Bavaria, Duchess of Swabia (19 May 1100 – 27 Aug 1130) was a Duchess of Swabia by marriage to Frederick II, Duke of Swabia. She was the mother of Frederick I, Holy Roman Emperor, known to history as ""Barbarossa"".

Where did Judith Of Swabia's mother die?";Quedlinburg.;Roman
"Karomama II
Karomama II( full name Karomama Meritmut; also known as Karomama D, Merytmut II) was an ancient Egyptian queen, Great Royal Wife of pharaoh Takelot II of the 23rd Dynasty of Egypt.

Where was the place of burial of Karomama I's husband?";Tanis (Egypt);Tanis
"Beating Heart (Ellie Goulding song)
""Beating Heart"" is a song recorded by English singer Ellie Goulding for the soundtrack to the film ""Divergent"" (2014). The song was written by Goulding and Joe Janiak, and produced by Greg Kurstin. It was released on 22 April 2014 as the second single from the soundtrack.

Which award the performer of song Beating Heart (Ellie Goulding Song) got?";"No award for ""Beating Heart.""";BRIT Awards
"Louis Lucien Bonaparte
Louis Lucien Bonaparte (4 January 1813 – 3 November 1891) was the third son of Napoleon's second surviving brother, Lucien Bonaparte.

What nationality is Prince Napoléon Bonaparte's father?";French;French
"Track & Field News
Track & Field News is an American monthly sports magazine founded in 1948 by brothers Bert Nelson and Cordner Nelson, focused on the world of track and field. The magazine provides coverage of athletics in the United States from the high school to national level as well as covering the sport on an international bases. The magazine has given itself the motto of The Bible of the Sport. E. Garry Hill is the magazine's editor and Sieg Lindstrom is the managing editor. Janet Vitu is publisher and Ed Fox is publisher emeritus. Each year, the magazine produces world and US rankings of top track & field athletes, selected by the magazine's editors along with an international team of experts. Many of the standard abbreviations used throughout the sport, like WR=World Record; WJR=World Junior Record; AR=American Record, started as print saving abbreviations in the magazine. ""Track & Field News"" discontinued paper and ink publication of the magazine and went to digital format only as of January 2018.

Where was the founder of magazine Track & Field News born?";United States.;San Diego
"Dalida (2005 film)
Dalida is a French and Italian two- parts- film for television directed by Joyce Buñuel released on TV in 2005. This movie tells Dalida's life.

Why did the director of film Normande (Film) die?";Unknown.;Parkinson's disease
"Who Saw Her Die?
Who Saw Her Die? is a 1972 Italian"" giallo"" film directed by Aldo Lado and Vittorio De Sisti, starring Anita Strindberg and George Lazenby. Lazenby and Strindberg play the parents of a murdered girl, who pursue her black- veiled killer throughout Venice. "" Who Saw Her Die?"" features music by Ennio Morricone, and has seen positive reviews for Lazenby's performance.

Which film has the director born later, The Man Who Murdered or Newness?";"""Newness""";Newness
"The Price of Everything
The Price of Everything is an English-language US documentary directed by Nathaniel Kahn and produced by Jennifer Blei Stockman, Debi Wisch, Carla Solomon.

Where did the director of film The Price Of Everything study?";Oxford University;Yale
"The Birth of Venus (disambiguation)
The Birth of Venus may refer to the birth of the mythological goddess Venus. Other uses include: In paintings, the term"" the birth of Venus"" has often been interchanged with"" Venus Anadyomene"". For examples of this theme, see: In literature: In music:

What is the place of birth of the director of film Venus Makes Trouble?";Satu Mare, Romania.;Jerseyville
"Meraa Dost Meraa Dushman
Meraa Dost Meraa Dushman is a 1984 Indian Bollywood film directed by Raj Khosla and produced by Johny Bakshi. It stars Shatrughan Sinha, Sanjeev Kumar, Smita Patil and Geeta Behl in pivotal roles.

Which film has the director who was born later, Meraa Dost Meraa Dushman or Miles From Home?";Miles From Home;Miles From Home
"Arab cinema
Arab cinema or Arabic cinema refers to the cinema of the Arab world.

Which film has the director born earlier, Pieces Of A Woman or Oriental Nights?";Oriental Nights.;Oriental Nights
"Lance Serrano
Lancer France Mendoza Serrano( born May 22, 1990 in Mandaluyong City, Philippines), better known as Lance Serrano, is a Filipino actor, commercial model and gym instructor, Serrano have a several tv shows in GMA Network.

Was Dudley Russell or Juan René Serrano born first?";Juan René Serrano;Dudley Russell
"Who Saw Her Die?
Who Saw Her Die? is a 1972 Italian ""giallo"" film directed by Aldo Lado and Vittorio De Sisti, starring Anita Strindberg and George Lazenby. Lazenby and Strindberg play the parents of a murdered girl, who pursue her black-veiled killer throughout Venice. "" Who Saw Her Die? "" features music by Ennio Morricone, and has seen positive reviews for Lazenby's performance.

Which film has the director who died later, The Lady Owner or Behind Prison Gates?";Behind Prison Gates;Behind Prison Gates
"Princess Olga Andreevna Romanoff
Princess Olga Andreevna Romanoff (born 8 April 1950) is a Russian princess and descendant of the House of Romanov. She is the president of the Romanov Family Association.

Who is Olga Constantinovna Of Russia's maternal grandfather?";Queen Victoria of the United Kingdom.;Joseph, Duke of Saxe-Altenburg
"The Ballad of Cossack Golota
The Ballad of Cossack Golota  is a 1937 Soviet action drama film directed by Igor Savchenko.

Which film has the director died later, Taipei Story or The Ballad Of Cossack Golota?";The director of Taipei Story died later.;Taipei Story
"Oleg Kerensky
Oleg Aleksandrovich Kerensky CBE FRS , (16 April 1905 – 25 June 1984) was a Russian civil engineer, one of the foremost bridge designers of his time. Kerensky was born in St. Petersburg, Russia, the son of future Russian prime minister Alexander Kerensky, who survived the events of the Russian Civil War and emigrated to Paris in 1918. Both Oleg and his younger brother Gleb graduated as engineers in 1927, and both settled in England. As an associate of Dorman Long, Kerensky assisted on the landmark 1932 Sydney Harbour Bridge. As an associate, and then a partner, in the firm Freeman Fox & Partners, Kerensky designed many British road bridges and structures such as the 1951 temporary Dome of Discovery in London, the largest dome in the world. He was president of the Institution of Structural Engineers in 1970–71 and won their Gold Medal in 1977. After his death in London, the same institution began their Kerensky Memorial Conferences beginning in 1988. He was made a C.B.E. in 1964 and was elected a Fellow of the Royal Society in 1970. Kerensky was the father and namesake of dance critic Oleg Kerensky, Jr (1930–1993). Oleg Junior was in the 1981 film ""Reds"" portraying his grandfather when he was the head of the Russian Provisional Government.

Where did Oleg Kerensky's father die?";Paris;New York
"Chiang Chung-ling
Chiang Chung-ling (September 21, 1922 – March 18, 2015) was a Taiwanese army general, former Minister of Defense and Vice Chairman of the Kuomintang (Chinese Nationalist Party). As Minister of Defense, he called for the use of Sky Horse missiles to rival Chinese M-class missiles. Also, several high-profile military deaths occurred during his term as Minister of Defense. When being questioned by reporters outside the parliament on September 19, 1995, he replied with a rhetorical question, ""哪個地方不死人?Where do people not die?""). His reply caused a sensation and public condemnation, and finally he apologized on September 25, 1995. After a C-130H military transport plane crashed on October 10, 1997, near Taipei, Chiang Chung-ling resigned as Minister of Defense on October 11 to take responsibility for the crash, in which all five crew members died.

Who died earlier, Chiang Chung-Ling or George Andreadis?";George Andreadis died earlier.;Chiang Chung-Ling
"Mok Kwai-lan
Mok Kwai-lan (October 15, 1892 – November 3, 1982) was the fourth spouse of Lingnan martial arts grandmaster Wong Fei-hung.

Where was the husband of Mok Kwai-Lan born?";Guangdong, China.;Foshan
"Are You Afraid of the Dark? (disambiguation)
Are You Afraid of the Dark? may refer to:

Did the movies Afraid Of The Dark and Smiley (2012 Film), originate from the same country?";No.;no
"Bolshaya Pyora
Did you mean:

Are both Enmelen and Yelshanka located in the same country?";No.;yes
"Blues Run the Game
""Blues Run the Game"" is a 1965 song by the American singer-songwriter Jackson C. Frank. The song was the opening track on Frank's self-titled debut album.

What is the cause of death of performer of song Blues Run The Game?";Complications from a car accident.;pneumonia
"Freestylers
The Freestylers are a British electronic music group, consisting of producers Matt Cantor and Aston Harvey. They have released five studio albums and a number of mix compilations for, among others, Fabric and BBC Radio.

Are Freestylers and The Nouvelles both from the same country?";Yes.;yes
"Minugurulu
Minugurulu is a 2012 Telugu social problem film co-written and directed by Ayodhya Kumar Krishnamsetty. The Movie dubbed in Kannada in same name. The film was selected as Best Indian Film at the 9th"" India International Children's Film Festival"", held at Bangalore. the film is the “ First Telugu script to be preserved in Oscar Library ‘s permanent core collection ” and First ever Telugu film that is contended for OSCAR best feature 2014 Along with 323 Features. The film has also garnered the"" Akkineni Vamsee International Award."" The film has received seven state Nandi Awards including Best Film( Silver), and Best First Film of a director for the year 2012.

Which film has the director who was born later, Eradu Rekhegalu or The Gentleman From Nowhere?";The Gentleman From Nowhere.;Eradu Rekhegalu
"Eleanor of England, Countess of Leicester
Eleanor of England (also called Eleanor Plantagenet and Eleanor of Leicester) (1215 – 13 April 1275) was the youngest child of John, King of England and Isabella of Angoulême.

Who is Eleanor Of England, Countess Of Leicester's paternal grandmother?";Eleanor of Aquitaine.;Eleanor of Aquitaine
"Follow Me Down
Follow Me Down may refer to:

Where was the director of film I'Ll Follow You Down born?";Richie Mehta.;Mississauga
"Princess Barbara of Prussia
Princess Barbara of Prussia (2 August 192031 May 1994) was the only daughter and elder child of Prince Sigismund of Prussia and Princess Charlotte of Saxe-Altenburg. She was a great-granddaughter of Frederick III, German Emperor and a great-great-granddaughter of Queen Victoria. On 17 September 1952 she was legally adopted by her paternal grandmother, Princess Irene of Prussia (""née"" Princess Irene of Hesse and by Rhine), a granddaughter of Queen Victoria.

Where was the place of burial of Princess Barbara Of Prussia's father?";Lutheran Church of Peace, Sanssouci Park, Potsdam, Germany.;Esparza
"List of horror films of 2011
A list of horror films released in 2011.

Which film has more directors, A Night Of Horror or The Whispering Shadow?";A Night Of Horror.;A Night Of Horror
"Kadambari Devi
Kadambari Devi (1858 - 21 April 1884) was the wife of Jyotirindranath Tagore and daughter-in-law of Debendranath Tagore. She was nine years younger than her husband, whom she married on 5 July 1868 (২৫শে আষাঢ়, ১২৭৫ বঙ্গাব্দ), when she was 10. He arranged for her to be educated. She was nearly the same age as her brother-in-law Rabindranath Tagore (2 years elder). She inspired young Rabindranath in composing many of his poems with her creative feedback and comments. She was also a good friend and playmate. She was one of the women who played a very important part in his life. Her relationship with Tagore was controversial and had elements of tragedy. For reasons that are not known, she committed suicide on 21 April 1884, four months after Rabindranath Tagore married. The Tagore family always remained silent about her suicide. Rumors of family problems having led to her suicide have circulated. After Kadambari Devi's death, Rabindranath was completely broken. For long after her death, he wrote many songs and poems in her memory. On May 8, 2015 director Suman Ghosh released a film on the subject called ""Kadambari"", starring Konkona Sen Sharma and Parambrata Chatterjee. Another film is ""Cherosakha He"".

Who is younger, Vedran Purić or Jenő Kuti?";Jenő Kuti;Vedran Purić
"Five Little Peppers and How They Grew
Five Little Peppers and How They Grew is a 1939 American black- and- white children's comedy drama film, directed by Charles Barton, produced by Jack Fier and based on the novel of the same name by Margaret Sidney. Starring Edith Fellows, Charles Peck, Tommy Bond, Jimmy Leake and Dorothy Anne Seese, it is the first of four Five Little Peppers films.

Which film has the director died first, To Mary – With Love or Five Little Peppers And How They Grew?";"The director of ""Five Little Peppers And How They Grew"" (Charles Barton) died first.";To Mary – With Love
"11 Flowers
11 Flowers  is a 2011 film directed by Wang Xiaoshuai centered on a boy named Wang Han who loses his white shirt which shows that he is his school's best gymnast. The loss of the shirt is to take on greater metaphorical meaning as the film progresses which is inspired by the director's own experience as a youth during the cultural revolution and the more general confusion of childhood.

Which film has the director born later, Where Are You? I'M Here or 11 Flowers?";Where Are You? I'M Here;11 Flowers
